Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
20:09:58,1238,2762,14.4
20:10:00,1237,2762,5.9
20:10:01,1238,2762,12.9
20:10:02,1240,2762,13.5
20:10:03,1238,2762,9.3
20:10:04,1238,2762,4.9
20:10:05,1240,2762,15.5
20:10:06,1240,2762,11.4
20:10:08,1240,2762,4.1
20:10:09,1241,2762,3.6
20:10:11,1242,2762,5.4
20:10:12,1244,2762,5.7
20:10:14,1240,2762,4.6
20:10:15,1241,2762,2.8
20:10:17,1244,2762,8.0
20:10:19,1242,2762,7.9
20:10:20,1242,2762,1.5
20:10:21,1242,2762,2.5
20:10:23,1242,2762,3.3
20:10:24,1242,2762,2.7
20:10:26,1242,2762,4.0
20:10:27,1242,2762,9.3
20:10:28,1243,2762,10.1
20:10:30,1245,2762,15.3
20:10:31,1237,2762,10.6
20:10:33,1237,2762,5.5
20:10:34,1237,2762,6.3
20:10:35,1237,2762,8.0
20:10:37,1236,2762,5.2
20:10:38,1236,2762,3.3
20:10:40,1238,2762,9.4
20:10:41,1239,2762,7.2
20:10:43,1238,2762,4.3
20:10:44,1237,2762,3.0
20:10:46,1239,2762,13.0
20:10:47,1241,2762,6.2
20:10:49,1238,2762,8.5
20:10:51,1241,2762,14.6
20:10:53,1241,2762,13.3
20:10:55,1239,2762,11.3
20:10:56,1241,2762,9.6
20:10:57,1242,2762,8.3
20:10:59,1240,2762,4.6
20:11:00,1242,2762,6.8
20:11:01,1243,2762,10.7
20:11:03,1241,2762,10.5
20:11:04,1242,2762,10.1
20:11:05,1243,2762,8.6
20:11:07,1243,2762,7.7
20:11:08,1242,2762,3.3
20:11:09,1244,2762,7.3
20:11:10,1244,2762,4.8
20:11:11,1243,2762,7.8
20:11:12,1243,2762,4.1
20:11:14,1245,2762,10.0
20:11:15,1238,2762,17.0
20:11:17,1238,2762,2.6
20:11:18,1237,2762,8.4
20:11:19,1237,2762,8.3
20:11:21,1237,2762,7.5
20:11:22,1239,2762,5.9
20:11:24,1239,2762,8.7
20:11:25,1239,2762,10.6
20:11:27,1241,2762,4.0
20:11:29,1240,2762,6.6
20:11:30,1238,2762,8.9
20:11:32,1239,2762,4.0
20:11:33,1239,2762,7.4
20:11:34,1239,2762,3.5
20:11:35,1239,2762,7.7
20:11:36,1240,2762,3.3
20:11:38,1239,2762,3.1
20:11:39,1240,2762,18.5
20:11:40,1239,2762,4.6
20:11:41,1239,2762,6.5
20:11:42,1241,2762,13.5
20:11:43,1240,2762,12.4
20:11:45,1240,2762,8.0
20:11:46,1243,2762,20.8
20:11:47,1242,2762,11.5
20:11:48,1241,2762,6.5
20:11:50,1243,2762,18.4
20:11:51,1242,2762,9.4
20:11:52,1243,2762,7.5
20:11:53,1243,2762,8.2
20:11:54,1244,2762,12.1
20:11:55,1244,2762,10.5
20:11:56,1244,2762,9.0
20:11:57,1246,2762,15.9
20:11:58,1247,2762,36.5
20:12:00,1239,2762,7.8
20:12:01,1240,2762,16.8
20:12:02,1239,2762,15.9
20:12:04,1238,2762,18.3
20:12:05,1239,2762,28.1
20:12:06,1239,2762,14.2
20:12:07,1238,2762,6.2
20:12:08,1240,2762,14.8
20:12:10,1239,2762,10.6
20:12:11,1239,2762,11.6
20:12:12,1242,2762,16.8
20:12:13,1240,2762,12.9
20:12:14,1240,2762,3.0
20:12:16,1242,2762,20.4
20:12:17,1241,2762,21.1
20:12:18,1241,2762,2.8
20:12:19,1243,2762,14.0
20:12:21,1242,2762,8.8
20:12:22,1243,2762,3.8
20:12:23,1244,2762,14.8
20:12:25,1243,2762,7.0
20:12:26,1246,2762,20.7
20:12:27,1246,2762,11.9
20:12:28,1245,2762,8.5
20:12:29,1244,2762,6.2
20:12:30,1246,2762,15.9
20:12:32,1247,2762,35.0
20:12:33,1238,2762,8.7
20:12:34,1238,2762,11.3
20:12:35,1238,2762,10.3
20:12:36,1238,2762,4.8
20:12:37,1240,2762,10.8
20:12:38,1240,2762,15.9
20:12:39,1238,2762,4.0
20:12:41,1239,2762,6.7
20:12:42,1241,2762,15.3
20:12:43,1239,2762,8.9
20:12:44,1240,2762,9.0
20:12:46,1242,2762,12.0
20:12:47,1242,2762,9.8
20:12:48,1241,2762,3.7
20:12:49,1242,2762,14.9
20:12:50,1241,2762,6.2
20:12:51,1242,2762,7.3
20:12:52,1244,2762,15.8
20:12:53,1243,2762,10.3
20:12:54,1243,2762,4.9
20:12:55,1244,2762,11.8
20:12:57,1245,2762,12.3
20:12:58,1243,2762,3.2
20:12:59,1246,2762,7.5
20:13:00,1246,2762,11.1
20:13:01,1245,2762,6.0
20:13:02,1245,2762,4.7
20:13:03,1248,2762,19.4
20:13:04,1254,2762,39.0
20:13:05,1239,2762,14.1
20:13:06,1242,2762,15.5
20:13:08,1245,2762,17.5
20:13:09,1242,2762,7.2
20:13:10,1243,2762,14.8
20:13:11,1244,2762,10.3
20:13:12,1243,2762,3.3
20:13:13,1243,2762,12.3
20:13:14,1239,2762,12.7
20:13:15,1239,2762,2.4
20:13:17,1241,2762,11.6
20:13:18,1242,2762,20.4
20:13:19,1240,2762,5.9
20:13:20,1241,2762,4.1
20:13:21,1243,2762,15.1
20:13:22,1241,2762,10.1
20:13:23,1242,2762,8.2
20:13:24,1243,2762,15.6
20:13:25,1243,2762,10.8
20:13:27,1244,2762,6.9
20:13:28,1245,2762,8.6
20:13:29,1244,2762,12.6
20:13:30,1244,2762,4.5
20:13:31,1247,2762,14.0
20:13:32,1245,2762,13.4
20:13:33,1245,2762,3.4
20:13:34,1247,2762,9.9
20:13:35,1248,2762,10.7
20:13:36,1247,2762,10.4
20:13:37,1245,2762,3.5
20:13:38,1247,2762,16.6
20:13:40,1246,2762,7.8
20:13:41,1246,2762,4.9
20:13:42,1248,2762,22.5
20:13:43,1247,2762,12.5
20:13:44,1247,2762,3.1
20:13:45,1249,2762,12.0
20:13:46,1249,2762,15.5
20:13:47,1249,2762,3.1
20:13:49,1251,2762,10.5
20:13:50,1250,2762,12.4
20:13:51,1250,2762,2.9
20:13:52,1251,2762,9.3
20:13:53,1253,2762,20.0
20:13:54,1251,2762,3.8
20:13:55,1253,2762,11.8
20:13:56,1254,2762,18.1
20:13:58,1252,2762,6.0
20:13:59,1253,2762,6.3
20:14:00,1255,2762,14.2
20:14:01,1256,2762,11.7
20:14:02,1255,2762,6.1
20:14:03,1256,2762,16.3
20:14:04,1254,2762,9.5
20:14:05,1254,2762,4.3
20:14:07,1258,2762,16.1
20:14:08,1256,2762,13.2
20:14:09,1256,2762,4.8
20:14:10,1258,2762,17.8
20:14:11,1259,2762,10.3
20:14:12,1259,2762,2.1
20:14:13,1257,2762,5.4
20:14:14,1256,2762,4.0
20:14:15,1258,2762,12.7
20:14:16,1259,2762,16.3
20:14:17,1257,2762,2.5
20:14:18,1259,2762,8.3
20:14:19,1261,2762,12.5
20:14:21,1261,2762,23.7
20:14:22,1246,2762,45.6
20:14:23,1251,2762,25.3
20:14:24,1249,2762,13.1
20:14:25,1250,2762,5.7
20:14:26,1254,2762,26.3
20:14:27,1254,2762,31.8
20:14:28,1255,2762,22.6
20:14:29,1255,2762,19.8
20:14:30,1256,2762,18.6
20:14:31,1257,2762,19.5
20:14:32,1257,2762,26.3
20:14:33,1259,2762,14.6
20:14:34,1258,2762,20.7
20:14:36,1259,2762,23.6
20:14:37,1262,2762,24.6
20:14:38,1261,2762,24.1
20:14:39,1263,2762,11.5
20:14:40,1261,2762,28.4
20:14:41,1263,2762,22.3
20:14:42,1261,2762,21.0
20:14:43,1263,2762,23.3
20:14:44,1266,2762,29.6
20:14:45,1264,2762,25.0
20:14:46,1246,2762,33.4
20:14:47,1248,2762,26.9
20:14:48,1246,2762,28.1
20:14:49,1247,2762,28.7
20:14:50,1250,2762,22.7
20:14:51,1250,2762,24.7
20:14:52,1250,2762,24.4
20:14:53,1254,2762,26.3
20:14:54,1254,2762,29.4
20:14:56,1246,2762,33.1
20:14:57,1246,2762,17.7
20:14:58,1247,2762,21.8
20:14:59,1247,2762,24.3
20:15:00,1250,2762,27.9
20:15:01,1253,2762,24.0
20:15:02,1255,2762,27.0
20:15:03,1254,2762,20.7
20:15:04,1249,2762,35.8
20:15:05,1251,2762,31.2
20:15:06,1251,2762,26.6
20:15:07,1252,2762,20.9
20:15:08,1254,2762,20.9
20:15:09,1254,2762,27.6
20:15:10,1255,2762,29.7
20:15:11,1258,2762,19.4
20:15:12,1258,2762,22.4
20:15:14,1258,2762,18.6
20:15:15,1258,2762,18.7
20:15:16,1263,2762,33.4
20:15:17,1263,2762,22.6
20:15:18,1263,2762,20.7
20:15:19,1252,2762,31.4
20:15:20,1252,2762,23.1
20:15:21,1254,2762,23.5
20:15:22,1254,2762,18.7
20:15:23,1255,2762,19.3
20:15:24,1253,2762,14.5
20:15:25,1255,2762,13.3
20:15:26,1257,2762,17.4
20:15:27,1254,2762,4.9
20:15:28,1254,2762,1.8
20:15:29,1256,2762,15.6
20:15:30,1255,2762,6.0
20:15:31,1255,2762,3.9
20:15:32,1256,2762,16.6
20:15:34,1254,2762,8.1
20:15:35,1256,2762,6.7
20:15:36,1260,2762,24.6
20:15:37,1260,2762,46.9
20:15:38,1254,2762,17.2
20:15:39,1255,2762,14.3
20:15:40,1257,2762,23.0
20:15:41,1259,2762,35.1
20:15:42,1257,2762,25.7
20:15:43,1259,2762,25.8
20:15:44,1259,2762,22.5
20:15:45,1259,2762,20.6
20:15:46,1262,2762,21.1
20:15:47,1263,2762,26.1
20:15:48,1261,2762,5.7
20:15:49,1261,2762,7.9
20:15:51,1264,2762,16.1
20:15:52,1264,2762,23.0
20:15:53,1265,2762,26.2
20:15:54,1267,2762,29.4
